ReactiveX/RxJava,29439,5090
Bilibili/MagicaSakura,2405,0
mihaip/dex-method-counts,2400,0
facebook/shimmer-android,2400,0
willowtreeapps/spruce-android,2397,0
rubensousa/PreviewSeekBar,2387,0
Todd-Davies/ProgressWheel,2387,0
gephi/gephi,2386,497
youlookwhat/CloudReader,2383,128
Tencent/MSEC,2382,0
OpenFeign/feign,2382,827
balysv/material-menu,2378,0
Meituan-Dianping/walle,2371,183
LyndonChin/MasteringAndroidDataBinding,2366,23
sqshq/PiggyMetrics,2366,110
JesusFreke/smali,2361,0
vespa-engine/vespa,2359,3585
apache/groovy,2354,3438
owncloud/android,2346,7988
danylovolokh/VideoPlayerManager,2343,0
hazelcast/hazelcast,2342,0
worker8/TourGuide,2340,158
firebase/FirebaseUI-Android,2319,2167
donglua/PhotoPicker,2311,300
journeyapps/zxing-android-embedded,2309,246
ximsfei/Android-skin-support,2306,0
davideas/FlexibleAdapter,2297,0
RobotiumTech/robotium,2295,0
googlemaps/android-maps-utils,2292,687
yusugomori/DeepLearning,2291,0
zo0r/react-native-push-notification,2281,0
florent37/ExpectAnim,2280,0
google/binnavi,2279,230
requery/requery,2279,698
saulmm/CoordinatorBehaviorExample,2278,0
SonarSource/sonarqube,2275,35633
mrniko/netty-socketio,2273,0
aws/aws-sdk-java,2266,1587
Prototik/HoloEverywhere,2259,496
theDazzler/droidicon,2258,0
grails/grails-core,2252,3458
h2oai/h2o-2,2249,153
hmkcode/Android,2247,0
jprante/elasticsearch-jdbc,2242,382
jfinal/jfinal,2241,0
pnikosis/materialish-progress,2239,29
pedrovgs/Algorithms,2234,174
rabbitmq/rabbitmq-tutorials,2229,149
MovingBlocks/Terasology,2229,0
markushi/android-ui,2227,0
romainguy/ViewServer,2224,0
ozodrukh/CircularReveal,2224,0
sd6352051/NiftyDialogEffects,2223,50
Bilibili/boxing,2219,137
JoanZapata/android-pdfview,2218,0
vavr-io/vavr,2217,4416
google/hover,2217,0
Nightonke/WoWoViewPager,2216,0
wonderkiln/BlurKit-Android,2212,0
Blankj/awesome-java-leetcode,2211,0
oguzbilgener/CircularFloatingActionMenu,2209,22
hongyangAndroid/Highlight,2201,0
sfsheng0322/StickyHeaderListView,2199,0
square/wire,2195,2839
airbnb/airpal,2194,0
bingoogolapple/BGABanner-Android,2193,0
json-path/JsonPath,2191,512
geftimov/android-pathview,2186,0
w446108264/XhsEmoticonsKeyboard,2183,0
twitter/distributedlog,2182,60
stormzhang/9GAG,2174,0
Cleveroad/SlidingTutorial-Android,2166,0
bytedeco/javacpp,2163,73
Ereza/CustomActivityOnCrash,2161,0
binIoter/GuideView,2157,0
MindorksOpenSource/android-mvp-architecture,2157,0
TangoAgency/material-intro-screen,2156,250
500px/500px-android-blur,2151,0
north2016/T-MVP,2140,0
Marswin/MarsDaemon,2137,0
b3log/symphony,2135,3970
xinghongfei/LookLook,2134,0
avast/android-styled-dialogs,2133,106
Fotoapparat/Fotoapparat,2132,452
JakeWharton/Telecine,2131,335
nisrulz/sensey,2130,0
harjot-oberai/MusicDNA,2129,0
yusuke/twitter4j,2128,70
oblac/jodd,2126,1115
yipianfengye/android-adDialog,2126,0
xfumihiro/ViewInspector,2123,0
apache/cordova-android,2118,1145
florent37/DiagonalLayout,2115,0
android-cjj/JJSearchViewAnim,2105,0
qiujuer/Genius-Android,2103,0
iPaulPro/Android-ItemTouchHelper-Demo,2103,0
Frank-Zhu/PullZoomView,2101,0
eirslett/frontend-maven-plugin,2098,722
reark/reark,2098,438
square/mortar,2096,110
databricks/learning-spark,2094,0
jd-alexander/LikeButton,2094,102
eishay/jvm-serializers,2093,0
chrisbanes/philm,2092,0
jOOQ/jOOQ,2090,2849
xmuSistone/ViewpagerTransition,2089,0
MinecraftForge/MinecraftForge,2087,2267
googlesamples/google-services,2084,64
dlew/joda-time-android,2081,178
mzule/ActivityRouter,2078,0
reactive-streams/reactive-streams-jvm,2072,736
konifar/android-material-design-icon-generator-plugin,2070,0
HoraApps/LeafPic,2068,0
bytedeco/javacv,2065,86
BelooS/ChipsLayoutManager,2065,0
flavioarfaria/KenBurnsView,2062,0
githubwing/ZoomHeader,2062,0
code-mc/material-icon-lib,2057,0
wenmingvs/AndroidProcess,2054,0
siyamed/android-shape-imageview,2053,100
spring-projects/spring-security,2046,1155
Konloch/bytecode-viewer,2045,0
kbastani/spring-cloud-microservice-example,2041,0
Yalantis/Euclid,2036,0
qstumn/BadgeView,2033,0
android-cjj/BeautifulRefreshLayout,2031,0
androidquery/androidquery,2029,0
chenupt/SpringIndicator,2023,0
alibaba/cobar,2021,0
glomadrian/Grav,2021,0
cymcsg/UltimateAndroid,2021,102
sfsheng0322/MarqueeView,2014,0
soarcn/BottomSheet,2008,88
javaee-samples/javaee7-samples,2006,277
drakeet/MaterialDialog,2005,0
yarolegovich/SlidingRootNav,2000,0
mxn21/FlowingDrawer,1999,40
deano2390/MaterialShowcaseView,1997,0
wireapp/wire-android,1994,0
iammert/ScalingLayout,1991,0
voldemort/voldemort,1990,0
daimajia/AnimationEasingFunctions,1989,327
kevin-wayne/algs4,1988,0
fyhertz/libstreaming,1982,0
iammert/MaterialIntroView,1979,0
xmuSistone/CardSlidePanel,1979,0
2dxgujun/AndroidTagGroup,1978,116
tjerkw/Android-SlideExpandableListView,1976,110
balysv/material-ripple,1972,0
square/tape,1972,513
pchmn/MaterialChipsInput,1971,0
dreamhead/moco,1969,1590
jhalterman/failsafe,1964,422
PomepuyN/BlurEffectForAndroidDesign,1963,0
mikepenz/AboutLibraries,1962,339
jfoenixadmin/JFoenix,1961,0
simple-android-framework/android_design_patterns_analysis,1959,0
amirzaidi/Launcher3,1957,0
rstudio/rstudio,1957,0
chewiebug/GCViewer,1956,141
bigbluebutton/bigbluebutton,1950,0
android-cjj/Android-MaterialRefreshLayout,1949,0
kymjs/KJFrameForAndroid,1946,0
Diolor/Swipecards,1945,172
liyifeng1994/ssm,1942,0
facebook/device-year-class,1940,0
bonnyfone/vectalign,1938,0
vikramkakkar/SublimePicker,1936,0
mikepenz/FastAdapter,1935,918
ata4/disunity,1932,0
react-native-community/react-native-svg,1931,688
Wizcorp/phonegap-facebook-plugin,1931,0
Piasy/BigImageViewer,1928,0
skavanagh/KeyBox,1927,0
lygttpod/SuperTextView,1927,0
danikula/AndroidVideoCache,1926,62
apache/tomcat,1925,0
bmelnychuk/AndroidTreeView,1922,0
chanjarster/weixin-java-tools,1912,198
zcweng/ToggleButton,1912,0
wildfly/wildfly,1909,0
ldoublem/LoadingView,1909,0
konmik/nucleus,1901,0
JackyAndroid/AndroidTVLauncher,1898,27
apache/incubator-skywalking,1896,3315
JackyAndroid/AndroidChromium,1893,0
spring-projects/spring-loaded,1889,0
mcharmas/Android-ReactiveLocation,1889,0
spotify/helios,1888,784
mongodb/mongo-java-driver,1886,2521
AnderWeb/discreteSeekBar,1884,0
mybatis/generator,1883,367
jgilfelt/android-sqlite-asset-helper,1877,0
bingoogolapple/BGABadgeView-Android,1876,0
flavienlaurent/datetimepicker,1873,0
dyc87112/SpringBoot-Learning,1873,0
ZieIony/Carbon,1871,0
TommyLemon/Android-ZBLibrary,1871,0
mcharmas/android-parcelable-intellij-plugin,1870,0
GitLqr/LQRWeChat,1864,0
LuckyJayce/ViewPagerIndicator,1852,0
googlesamples/android-vision,1851,0
square/keywhiz,1851,1820
crate/crate,1851,31078
fqrouter/fqrouter,1848,0
pakerfeldt/android-viewflow,1847,0
yqritc/RecyclerView-FlexibleDivider,1846,0
zzhoujay/RichText,1844,0
baoyongzhang/android-PullRefreshLayout,1842,0
Bukkit/Bukkit,1837,0
white-cat/ThinkAndroid,1837,0
brianfrankcooper/YCSB,1830,1449
appsthatmatter/GraphView,1829,0
keycloak/keycloak,1826,8942
zzz40500/AndroidSweetSheet,1826,0
termux/termux-app,1826,423
MikeOrtiz/TouchImageView,1822,0
JakeWharton/ThreeTenABP,1821,78
Zomato/AndroidPhotoFilters,1819,0
cryptomator/cryptomator,1818,896
grandcentrix/tray,1818,397
Karumi/Rosie,1815,135
Dimezis/BlurView,1815,0
lihengming/spring-boot-api-project-seed,1809,0
mikepenz/LollipopShowcase,1806,0
florent37/ViewAnimator,1805,0
aritraroy/PatternLockView,1804,0
raphw/byte-buddy,1800,2412
dubbo/dubbo-spring-boot-project,1798,0
IsseiAoki/SimpleCropView,1794,111
zagum/Android-SwitchIcon,1791,0
novoda/android-demos,1789,0
immutables/immutables,1789,1394
Aspsine/SwipeToLoadLayout,1787,0
google/wycheproof,1785,0
Sunzxyong/Tiny,1785,0
hitherejoe/Android-Boilerplate,1784,38
ronmamo/reflections,1783,139
elevenetc/TextSurface,1781,0
undertow-io/undertow,1780,0
sharish/ShimmerRecyclerView,1780,0
Netflix/curator,1779,0
ToxicBakery/ViewPagerTransforms,1776,59
OpenGrok/OpenGrok,1776,0
ApmeM/android-flowlayout,1773,34
zhouchaoyuan/excelPanel,1772,0
balsikandar/Android-Studio-Plugins,1770,0
RomainPiel/Shimmer-android,1770,0
rovo89/XposedInstaller,1769,0
bisq-network/exchange,1768,942
youtube/api-samples,1768,0
AltBeacon/android-beacon-library,1768,0
dmilicic/Android-Clean-Boilerplate,1767,0
uber/RIBs,1766,267
spring-projects/spring-petclinic,1766,245
detro/ghostdriver,1765,0
watabou/pixel-dungeon,1764,0
oasisfeng/condom,1764,84
KieronQuinn/PersistentSearch,1761,0
AigeStudio/WheelPicker,1756,0
hefuyicoder/ListenerMusicPlayer,1756,0
spockframework/spock,1755,841
MagicMashRoom/SuperCalendar,1755,0
Yalantis/FlipViewPager.Draco,1753,0
linkedin/databus,1750,0
ninjaframework/ninja,1750,348
Netflix/ribbon,1749,57
bitcoinj/bitcoinj,1744,2039
rallat/EffectiveAndroid,1742,0
matrixxun/ProductTour,1738,0
lapism/SearchView,1737,0
graphql-java/graphql-java,1736,1779
jdsjlzx/LRecyclerView,1732,0
flavienlaurent/NotBoringActionBar,1731,0
AntennaPod/AntennaPod,1731,0
objectbox/objectbox-java,1730,0
pqpo/SmartCropper,1730,0
eclipse/jetty.project,1729,207
huazhiyuan2008/RecyclerViewCardGallery,1728,0
H07000223/FlycoDialog_Master,1720,0
addthis/stream-lib,1720,264
gjiazhe/PanoramaImageView,1719,0
phishman3579/java-algorithms-implementation,1717,277
elye/loaderviewlibrary,1716,0
jaydenxiao2016/AndroidFire,1715,0
lyft/scissors,1713,114
Freeyourgadget/Gadgetbridge,1709,2604
iwgang/CountdownView,1708,0
wangdan/AisenWeiBo,1708,0
Jude95/EasyRecyclerView,1707,0
spring-cloud/spring-cloud-netflix,1707,1524
M66B/XPrivacy,1703,0
Nightonke/CoCoin,1703,0
goldmansachs/gs-collections,1702,0
r0adkll/Slidr,1702,0
JorgeCastilloPrz/AndroidFillableLoaders,1700,56
fanrunqi/MaterialLogin,1700,0
jackpal/Android-Terminal-Emulator,1697,0
linkedin/rest.li,1696,0
http-kit/http-kit,1696,65
zjw-swun/AppMethodOrder,1694,0
languagetool-org/languagetool,1694,6334
cglib/cglib,1694,221
tvbarthel/BlurDialogFragment,1691,0
steelkiwi/cropiwa,1688,0
recruit-lifestyle/WaveSwipeRefreshLayout,1685,0
nutzam/nutz,1685,2209
sockeqwe/AdapterDelegates,1680,107
facebook/react-native-fbsdk,1679,0
moezbhatti/qksms,1678,859
AbrahamCaiJin/CommonUtilLibrary,1678,0
JoanZapata/base-adapter-helper,1674,0
linkedin/pinot,1674,7097
tyzlmjj/PagerBottomTabStrip,1670,83
powermock/powermock,1670,721
react-native-community/react-native-blur,1669,0
Yalantis/StarWars.Android,1669,0
XunMengWinter/CircularAnim,1667,0
google/tiger,1665,0
libgdx/packr,1664,0
junit-team/junit5,1663,5471
Yalantis/Horizon,1662,0
esoxjem/MovieGuide,1662,0
VictorAlbertos/RxCache,1661,294
Skykai521/ECTranslation,1661,0
skyfishjy/android-ripple-background,1657,0
tinkerpop/gremlin,1657,186
yadav-rahul/TastyToast,1657,13
TheFinestArtist/FinestWebView-Android,1657,0
garretyoder/Colorful,1657,0
maurycyw/StaggeredGridView,1656,0
rmtheis/android-ocr,1655,0
wingjay/jianshi,1655,0
LaiFeng-Android/SopCastComponent,1651,0
FinalTeam/RxGalleryFinal,1651,0
apache/hbase,1650,0
torodb/stampede,1650,514
Devlight/NavigationTabStrip,1646,0
Cleveroad/FanLayoutManager,1644,0
Naoki2015/CircleDemo,1643,0
vipulasri/Timeline-View,1640,0
googlesamples/android-testing-templates,1637,0
qs-lll/ExpandingPager,1637,0
klinker24/Talon-for-Twitter,1636,0
apache/hive,1634,4759
CrawlScript/WebCollector,1631,0
seiginonakama/BlockCanaryEx,1630,0
artem-zinnatullin/qualitymatters,1628,656
bm-x/PhotoView,1628,0
ratpack/ratpack,1625,1970
robovm/robovm,1624,0
mthli/Knife,1623,0
spring-projects/spring-data-examples,1622,990
florent37/CameraFragment,1618,0
amitshekhariitbhu/awesome-android-complete-reference,1616,0
hongyangAndroid/android-percent-support-extend,1614,0
TeamAmaze/AmazeFileManager,1614,328
Deletescape-Media/Lawnchair,1612,0
AigeStudio/DatePicker,1607,0
daimajia/AnimeTaste,1607,53
notnoop/java-apns,1607,257
tuesda/CircleRefreshLayout,1605,0
cucumber/cucumber-jvm,1605,2187
jMonkeyEngine/jmonkeyengine,1603,2104
dexafree/MaterialList,1603,133
videlalvaro/gifsockets,1600,0
Rajawali/Rajawali,1599,1101
AriaLyy/Aria,1598,0
neokree/MaterialNavigationDrawer,1598,0
Ramotion/paper-onboarding-android,1598,0
wordpress-mobile/WordPress-Android,1597,23779
Jasonchenlijian/FastBle,1597,0
bluejamesbond/TextJustify-Android,1594,77
fengjundev/Android-Skin-Loader,1593,0
phonegap/phonegap-plugin-push,1592,684
henrytao-me/smooth-app-bar-layout,1591,0
eluleci/FlatUI,1588,0
jjdxmashl/jjdxm_ijkplayer,1588,0
athkalia/Just-Another-Android-App,1585,0
mcxtzhang/SwipeDelMenuLayout,1584,0
apache/camel,1583,0
sephiroth74/ImageViewZoom,1579,16
fython/MaterialStepperView,1577,0
tumblr/Backboard,1575,0
codeestX/ENViews,1571,0
killbill/killbill,1564,3657
inmite/android-selector-chapek,1563,0
WritingMinds/ffmpeg-android-java,1563,0
apache/beam,1561,11952
timmolter/XChange,1559,3382
RomainPiel/Titanic,1556,0
JakeWharton/RxRelay,1554,63
iPaulPro/aFileChooser,1552,0
querydsl/querydsl,1552,5238
igniterealtime/Smack,1550,1331
Yalantis/Taurus,1548,0
VerbalExpressions/JavaVerbalExpressions,1545,137
nispok/snackbar,1541,216
lendylongli/qianghongbao,1541,0
Trinea/android-auto-scroll-view-pager,1540,39
zouzg/mybatis-generator-gui,1538,0
Rukey7/MvpApp,1538,0
niorgai/StatusBarCompat,1536,0
pwnall/chromeview,1535,0
brianway/java-learning,1533,0
kanytu/android-parallax-recyclerview,1532,0
dodola/HotFix,1531,0
alexvasilkov/FoldableLayout,1530,0
Luosunce/material-design-data,1525,0
aragozin/jvm-tools,1521,38
ICT-BDA/EasyML,1521,0
square/assertj-android,1520,478
react-native-community/react-native-linear-gradient,1517,0
Kaopiz/android-segmented-control,1516,0
redsolution/xabber-android,1516,434
stfalcon-studio/ChatKit,1513,0
l123456789jy/Lazy,1512,0
Netflix/archaius,1511,232
Tibolte/ElasticDownload,1510,0
gre/gl-react-native-v2,1510,0
jaredrummler/AnimatedSvgView,1509,0
azkaban/azkaban,1508,3254
kabouzeid/Phonograph,1505,0
iSoron/uhabits,1504,32
FasterXML/jackson-databind,1504,2500
twosigma/beakerx,1501,6320
tiann/understand-plugin-framework,1498,0
woxingxiao/BubbleSeekBar,1498,0
dinuscxj/RecyclerRefreshLayout,1497,0
xmuSistone/AndroidPileLayout,1495,0
linger1216/labelview,1495,0
Athou/commafeed,1493,346
felipecsl/AsymmetricGridView,1492,0
pzxwhc/MineKnowContainer,1491,0
airbnb/AirMapView,1490,330
alexvasilkov/GestureViews,1490,19
pwittchen/ReactiveNetwork,1489,891
lawloretienne/QuickReturn,1489,0
mybatis/spring-boot-starter,1488,460
gotev/android-upload-service,1487,325
Kelin-Hong/ScrollablePanel,1485,0
groovy/groovy-core,1484,0
MostafaGazar/CustomShapeImageView,1480,31
timusus/Shuttle,1478,591
Froussios/Intro-To-RxJava,1478,0
frogermcs/LikeAnimation,1474,0
yingLanNull/ShadowImageView,1473,0
Krupen/FabulousFilter,1469,0
mancj/SlideUp-Android,1468,0
apache/incubator-pulsar,1468,2079
google/google-java-format,1467,461
byoutline/kickmaterial,1466,266
pbreault/adb-idea,1465,0
LyndonChin/AndroidRubberIndicator,1465,0
apache/nutch,1465,0
eoinfogarty/Onboarding,1464,0
yydcdut/PhotoNoter,1463,324
MatthiasRobbers/shortbread,1462,0
cSploit/android,1460,0
harism/android_page_curl,1460,0
mcxtzhang/ZLayoutManager,1458,0
zzz40500/android-shapeLoadingView,1457,0
apache/jmeter,1455,3352
ImmortalZ/TransitionHelper,1454,0
dodola/RocooFix,1453,0
joyoyao/superCleanMaster,1452,0
HeZaiJin/SlantedTextView,1452,0
ltsopensource/light-task-scheduler,1448,0
javaparser/javaparser,1447,2301
afollestad/aesthetic,1447,146
ZhaoKaiQiang/KLog,1447,0
UFreedom/FloatingView,1446,45
MiCode/Notes,1446,0
gongwen/MarqueeViewLibrary,1445,0
xmuSistone/VerticalSlideFragment,1444,0
commonsguy/cw-advandroid,1444,0
twitter/commons,1443,1365
Muddz/StyleableToast,1442,0
TonicArtos/StickyGridHeaders,1441,0
armcha/Space-Navigation-View,1441,0
jitsi/jitsi,1441,0
Red5/red5-server,1441,178
BaronZ88/MinimalistWeather,1441,0
seven332/EhViewer,1435,0
hidroh/materialistic,1435,2222
parse-community/Parse-SDK-Android,1431,765
zhanglei-workspace/shopping-management-system,1430,0
oldmanpushcart/greys-anatomy,1429,0
btraceio/btrace,1429,460
ImmortalZ/StereoView,1425,0
Azoft/CarouselLayoutManager,1423,0
auth0/java-jwt,1421,172
kikoso/Swipeable-Cards,1421,20
DreaminginCodeZH/MaterialProgressBar,1419,0
dersoncheng/MultipleTheme,1419,0
luojilab/DDComponentForAndroid,1419,0
nekocode/CameraFilter,1419,0
siyamed/android-satellite-menu,1417,0
dodola/MetaballLoading,1417,0
code4craft/netty-learning,1416,0
pilgr/Paper,1415,210
mmin18/FlexLayout,1413,0
tdebatty/java-string-similarity,1410,130
